chapter	title	body_words	max_p_words	dashes_per_1000	open_quotes	close_quotes	date_stamps
ch001	Favor of Rich Women (Gold) and Idol Killer (Purple)	2594	52	6.94	1	1	Morning, fog not yet lifted
ch002	Thoroughly Controlled by a Rich Woman	3550	69	3.66	54	54	The same morning · before he goes out
ch003	I Only Wanted to Date Girl-Group Idols	3323	66	7.22	77	77	The same morning, still
ch004	Jessica’s Predicament, and Her Compromise	3317	49	7.24	54	54	Half an hour earlier
ch005	The Two of Them, Two Years Ago	3718	81	2.69	9	9	Near noon | The same noon
ch006	Krystal, the Younger Sister	2662	61	6.39	63	63	The morning after the Shilla
ch007	Not the “Future Brother-in-Law” Candidate	2512	46	9.16	64	64	Still that morning, the ring not yet finished
ch008	Prosecutor Bae, Welcome to Seoul Central	2378	79	10.93	11	11	First day in office · morning, Seoul still cold | Just past eight-thirty
ch009	The New Neighbor Is a Girl-Group Member?	2994	107	5.34	55	55	Day one in office · dusk by the time he clocks out | The same evening · nearly dark
ch010	Jeon Bo-ram Wants to Help	2997	88	7.67	51	51	That night · after his own door closed | Past nine in the evening · freshly showered
ch011	Moving Here Isn’t as Bad as I Imagined	3027	62	3.63	98	98	The same night · a little past nine | The next morning · before work | The same morning, a little later
ch012	Wanting to Keep a Low Profile, and Being Taken for a Soft Persimmon?	3426	58	6.42	74	74	Day three in office · morning, filed under ordinary | Noon · the rice-and-soup hour
ch013	Investigating at JYP	3819	120	7.33	91	91	The same afternoon · the file open at page one | Half an hour later · daylight still up
ch014	Women Only Slow Down My Case-Solving Speed	2998	123	7.34	42	42	The same afternoon · the originals on a screen
ch015	The Officer’s Discovery, Bae Suzy’s Anomaly	3811	118	8.13	72	72	Still the same afternoon · questions finished | A little later · the tour under way | Later · the tour’s end
ch016	The Department Chief’s Hint	3060	69	6.86	82	82	Nightfall · back from JYP | The same evening · a knock answered at once | Meanwhile · the lamp still lit
ch017	Park Ji-yeon	2945	71	8.49	94	94	Late that night · darker than usual
ch018	Learning Self-Defense	3151	86	7.3	85	85	The same evening · the meal, continued | The days after · then a day off, seven in the morning
ch019	Power Is a Man’s Best Tonic	3585	94	8.09	78	78	The morning after enrollment · mats, wooden dummy, honest sweat | Near noon · brighter sun, floor-to-ceiling windows
ch020	An Old Friend: Irene	3125	67	6.72	78	78	Still the café · after the scout’s bow | 7:50 in the evening · a dim alley, a sliver of warm light
ch021	Irene: I Do	6513	91	9.98	335	335	The same evening · the practice room, continued
ch022	Rekindled?	3695	124	6.5	104	104	The same night · the side door | Minutes later · the mouth of the alley
ch023	Really Leaving Now	3881	111	10.31	119	119	The same night · the corner, still | Minutes later · under the streetlight
ch024	The Girls Next Door	3455	117	10.13	109	109	Past midnight · his floor | The same minutes · next door
ch025	Unnie, Are We Sick?	4250	128	15.29	91	91	The same night · next door’s living room | After · the cleared low table, the quiet door
ch026	Prosecutor Bae Is in a Good Mood	3467	134	9.52	92	92	The next morning · the Prosecutors’ Office | Nearly ten · the desk corner
ch027	Prosecutor Bae, Do You Have a Girlfriend?	3454	159	12.16	151	151	The same afternoon · the meeting room, cleared
ch028	The First Person Who Came to Mind Was Her?	4013	213	12.71	81	81	The same afternoon · the cleared meeting room, continued | Many years ago · Seoul
ch029	The Extremely Curious Kim Mi-ju	3959	174	9.85	63	63	The same afternoon · JYP, fifth floor | Minutes later · the elevator | Near afternoon · the Prosecutors’ Office
ch030	I’ve Always Seen You as a Younger Brother	5156	238	9.7	146	146	Eight o’clock at night · the Shilla Hotel | The same night · the upper floor | The same night · the arranged room
ch031	A Spring Night’s Dream	5686	268	7.39	56	56	Night, minutes later · inside the arranged room | Morning · the same room
