section	css_line	selectors	classes	blurb
00 · UNNUMBERED PROLOGUE	1	0		
00 · WEB FONTS → EMBEDDED (see fonts.css)	17	0		
01 · RESET & BASE TYPOGRAPHY	21	1		
02 · PAGE WRAPPER	42	3	page-wrapper	
03 · HEAVY TITLE PAGE  (stylesheet2 treatment)	57	34	g1, g2, g3, title-content, title-edition, title-eyebrow, title-glow, title-heading, title-meta, title-meta-dot, title-meta-item, title-ornament, title-ornament-glyph, title-ornament-line, title-shell, title-subtitle, title-tagline, title-vignette	
04 · CHAPTER HEADER  (V4 — colorful)	213	17	chapter-header, chapter-number, chapter-rule, chapter-title	Sunrise-gradient card: crimson→gold→teal accent bar, gradient-tinted chapter number chip, warm two-tone title, ornament rule. Solid color fallbacks included for readers without gradient/background-clip support.
05 · BODY TEXT & DIALOGUE	302	11	beat, callout, dialogue-line, highlight, highlight2, no-indent, ornament, scene-break, sound-effect, thought	
06 · LOCATION STAMP  (scene openers)	346	9	location-stamp, ls-date, ls-place, ls-sub	
07 · SCENE BREAK / ORNAMENT	376	2	scene-break	
08 · LYRIC BLOCK  (songs performed on-page, V4)	387	18	lb-header, lb-note, lyric-block	Redesigned: an aged songsheet card — cream paper, treble ornament, titled header naming the song and artist, hairline gold rules. Quotes are brief excerpts; performances are otherwise rendered as staged description.
09 · PERFORMANCE BLOCK  (staged & filmed, V4)	449	18	action-beat, beat, lyric, performance-block, pf-header	Stage-dark card, crimson spine. .pf-header names the stage/venue; .beat = narration, .action-beat = blocking, .lyric = sung line.
10 · SYSTEM INTERFACE — HEAVY BLOCK (V3)	509	33	sys-ding, sys-header, sys-key, sys-line, sys-note, sys-row, sys-stat, sys-stat-label, sys-stat-line, sys-stat-value, sys-value, system-block	Returning for a partnership confirmation and its gift packs.
17 · FINANCE BLOCK  (editions, pricing & first-day numbers)	657	24	fb-header, fb-label, fb-row, fb-value, finance-block	Returning for a release ledger.
11 · NOTIFICATION CHIP  (single system dings)	734	3	notification	
12 · PHONE-CALL BLOCK  (V4)	748	16	pc-head, pc-me, pc-note, pc-them, phone-call	Redesigned: a call-screen card — slate gradient shell, glowing receiver header with caller line, speaker-tinted exchanges, soft depth shadows. .pc-head names the call; .pc-me / .pc-them color the two ends of the line.
13 · APP SCREEN  (push alerts, SNS feeds, dashboards)	810	25	app-meta, app-screen, app-title	Redesigned: the block now reads as a phone screen rather than a tinted box — a camera notch and a home indicator drawn from pseudo-elements, an app-header bar carrying a rounded icon chip, every alert line lifted into its own notification card, figures picked out with a highlighter wash, and a dashed attachment strip for trailing captions. Reuses embedded Inter, Bebas Neue and Courier Prime, so no
14 · COMMENT THREAD  (netizen reactions, V4)	940	24	comment-floor, comment-header, comment-item, comment-thread	Redesigned: soft card with a tinted header bar, pill-shaped floor chips, alternating row tints, and a hover of depth via layered shadows.
15 · LECTURE BLOCK  (industry asides, V4)	1005	12	lect-header, lect-q, lecture-block	Chalk-toned aside card. .lect-header labels the lesson; .lect-q holds quoted maxims.
16 · PULLQUOTE	1047	8	pullquote	
18 · CHAPTER DIVIDER	1096	1	chapter-divider	
19 · LINKS / IMAGES / MISC	1103	0		
20 · WARDROBE BLOCK  (outfit cards, V3)	1116	32	wardrobe-block, wd-effect, wd-header, wd-item, wd-label, wd-note, wd-photo, wd-sub, wd-tag	Returning for a balladeer on stage.
21 · CONTRACT BLOCK  (legal documents, V3)	1219	14	contract-block, ct-clause, ct-figure, ct-header, ct-note	Returning for a brand ambassadorship.
22 · HANDWRITTEN NOTE  (gift cards & notes)	1275	8	hand-note, hn-label	
23 · RECORDING BLOCK — NEW IN THIS VOLUME (V3)	1307	19	rec-dot, rec-header, rec-note, rec-time, rec-voice, rec-voice2, recording-block	Created for the covert phone-camera context. Styled as a viewfinder: near-black field, red REC pulse, timecode rail, monospace captions.
24 · OFFICIAL STATEMENT  (corporate press, V3)	1377	15	official-statement, os-clause, os-masthead, os-meta, os-sign, os-title	Returning for SM's clarification.
25 · NEWS DIGEST  (media coverage, V3)	1442	9	nd-headline, nd-source, news-digest	Returning for the crisis headlines.
26 · TREND BLOCK  (charts & searches, V4)	1482	27	tr-artist, tr-cat, tr-header, tr-hot, tr-rank, tr-work, trend-block	Redesigned V4.1: vivid chart-room card — indigo night gradient, neon rank chips; text roles: .tr-cat cyan categories, .tr-artist gold names, .tr-work pink titles, .tr-hot flame badge. Base text brightened for dark-bg visibility; solid background-color fallbacks for readers without gradient support. Row separators live on the base `p` rule only — no sibling or pseudo-class selectors, so cascade-ord
27 · CHAT BLOCK  (KakaoTalk messenger, V4)	1592	18	chat-bubble, chat-clear, chat-container, chat-header, chat-meta, chat-name, chat-received, chat-sent, chat-sticker, self	Redesigned: authentic messenger shell — the classic Kakao sky-blue room, a contact-bar header with avatar dot, asymmetric bubbles with tails, soft shadows, timestamp meta.
28 · STUDIO BLOCK  (production boards, V3)	1694	41	placement-reel, pr-header, pr-item, pr-note, pr-show, st-header, st-label, st-note, st-row, st-value, studio-block	Returning for the public tracklist reveal and the global performance dashboard.
29 · INVESTIGATIVE DOSSIER BLOCK — NEW	1845	35	dg-field, dg-flag, dg-header, dg-label, dg-msg, dg-note, dg-transcript, dg-transcript-label, dg-value, dossier-block	A context with no prior home: the private a detective's findings on one group's affair. Manila-folder styling — kraft paper, staple tab, Courier Prime field rows, embedded threat-message transcripts in a crimson danger sub-card. Reuses embedded fonts.
30 · MEMORY BLOCK  (flashbacks, V3)	1978	9	mb-label, mb-voice, memory-block	Returning for a recovered night out.
31 · HATE-WALL BLOCK — NEW IN THIS VOLUME (V3)	2015	13	hate-wall, hw-header, hw-note, hw-scrawl	The vandalized corridor: spray-paint scrawl on concrete. Permanent Marker font, red overspray glow, tilted lines like a wall defaced in the dark.
32 · HAND-LETTER BLOCK  (returning, V3)	2078	10	hand-letter, hl-label, hl-sign	Full-page handwritten letter: ruled cream stationery, Caveat hand, soft page shadow. Returning for the three letters in the car.
33 · VARIETY SHOW BLOCK  (broadcast language, V3)	2118	23	variety-block, vt-caption, vt-header, vt-mission, vt-rule, vt-tag, vt-verdict	Returning for a variety-show taping.
34 · WORLD-DISPATCH STAMP — NEW IN THIS VOLUME (V3)	2208	10	wd-city, wd-country, wd-globe, wd-sub, world-dispatch	Atlas variant of the location stamp for the one album, many cities. Adds a globe glyph, a faint meridian rule, and a small-caps country line above the city.
35 · COVER PAGE  (editable text cover)	2258	16	cover-body, cover-edition, cover-eyebrow, cover-meta, cover-ornament, cover-overlay, cover-shell, cover-subtitle, cover-title, jpg	Full-bleed background image with centered, fully editable XHTML text on top. Edit the words in cover.xhtml; adjust looks here.
36 · CHARACTER PAGE  (wiki-style infoboxes)	2350	29	char-bio, char-card, char-infobox, char-note, ci-caption, ci-name, ci-photo, ci-table	Dramatis personae: AsianWiki/Wikipedia-style character cards — bordered infobox with portrait, fact table, and prose bio.
37 · STATUS PANEL  (character attribute sheet)	2448	26	filled, sp-bar, sp-header, sp-label, sp-note, sp-row, sp-subject, sp-total, sp-value, status-panel	The protagonist's full system attribute readout: heavy system styling with labeled stat rows and value bars. First used in the reference edition.
38 · TABLE OF CONTENTS  (nav document)	2555	7	toc-wrap	
39 · AWARD BLOCK — NEW (V4)	2588	21	aw-header, aw-laurel, aw-note, aw-winner, aw-work, award-block	Ceremony envelope card: midnight-velvet shell, gold laurel header, engraved winner plate. .aw-header names the ceremony & category; .aw-winner is the engraved plate; .aw-work credits the winning work; .aw-note for margins. First used in the reference edition.
40 · BRIEFING BLOCK — NEW (V4)	2668	28	bf-band, bf-item, bf-key, bf-note, bf-source, bf-title, briefing-block	"Intelligence-dossier card: manila folder tones, classification band, clause paragraphs with ruled left margin — for structured ""as told to"" explainers. First used in the reference edition."
41 · ACTING BLOCK — NEW (V4)	2760	27	ac-cue, ac-direction, ac-heading, ac-line, ac-note, ac-slate, acting-block	The craft-of-acting card: a director's slate. Clapperboard stripe crown, charcoal screen- test body, Courier direction lines, amber cue chips. For training plans, audition readings, on-set coaching and take-by-take craft beats. .ac-slate  = production/scene/take header .ac-heading= scene or subject line .ac-line   = cue row  (.ac-cue chip + text) .ac-direction = italic stage direction .ac-note   =
42 · BOX-OFFICE BLOCK — NEW (V5)	2876	27	bo-figure, bo-header, bo-label, bo-note, bo-rank, bo-row, bo-title, box-office	Admissions, rankings, chart collections and other tallied numbers: a cinema marquee card. Midnight-navy body, marquee gold header with ticket-stub scallops, tabular rows with amber figures. For box-office boards, chart standings, sales collections, poll results. .bo-title  = film/song/subject line .bo-row    = label + figure line (flex) .bo-label  = metric name .bo-figure = the number (amber, tabu
43 · OFFICIAL POST — NEW (V5)	3004	19	official-post, op-band, op-body, op-handle, op-meta	"Verified official-account postings: film / agency / artist accounts making statements on SNS. A crisp ""verified card"": white paper on cool blue frame, blue verified band with a check seal, quoted body in serif, meta row .op-band   = account name band (✔ prefix) .op-body   = the posted text (serif, quoted) .op-meta   = engagement / top-reply footnote"
44 · SCREEN-VIEW BLOCK — NEW (V5)	3086	40	screen-view, sv-caption, sv-header, sv-line, sv-note, sv-scene, wh-close, wh-label, wh-note, wh-reply, wh-voice, whisper-block	In-world viewing of a film in a theater or a drama on TV: ONLY what plays on the screen — never ordinary dialogue or room narration. A darkened-auditorium card: near-black body, cinemascope letterbox bars top and bottom, silver-nitrate text, projector-beam header. .sv-scene  = on-screen action (italic silver) .sv-line   = on-screen spoken line (quoted) .sv-caption= on-screen caption / subtitle / c
34 · VARIANT OVERRIDES (cascade-ordered)	3263	57	blue, bright, hand-note, hn-label, mb-label, mb-voice, memory-block, pc-head, pc-me, phone-call, red, reply, safe, sinister, variety-block, vt-tag, vt-verdict, xman, yellow	Chained-class variants collected here so that higher-specificity rules always follow their base selectors — validator-clean ordering.
45 · FAN-CLUB FORUM — NEW (V3)	3324	28	fanclub-block, fc-header, fc-modnote, fc-post, fc-text, fc-user, founder, mod	Private fandom lounge: midnight solar field, warm-gold identity chips, moderator badges, and compact stacked posts. First used in the reference edition.
46 · CHARACTER INTRODUCTION — NEW (V3)	3414	26	char-intro-block, ci-body, ci-born, ci-desc, ci-group, ci-name, ci-photo, ci-photo-wrap, ci-role, ci-tag	A compact first-appearance card. Used exactly once per featured character, immediately after the character's first narrative mention.
47 · SMALL-SCREEN & HIGH-DENSITY SAFEGUARDS	3514	90	acting-block, app-meta, app-screen, app-title, award-block, bo-figure, box-office, briefing-block, call-sheet, chapter-header, chapter-title, char-infobox, char-intro-block, chat-bubble, chat-container, checklist-block, ci-body, ci-photo-wrap, ci-table, comment-thread, contract-block, dev-quest, dq-basis, dq-task, fanclub-block, fc-post, finance-block, hand-letter, hand-note, hate-wall, lecture-block, lesson-block, lyric-block, memory-block, menu-block, news-digest, official-post, official-statement, op-body, page-wrapper, performance-block, phone-call, pitch-deck, pullquote, recording-block, release-block, screen-view, sp-value, st-value, status-panel, studio-block, sys-header, sys-value, system-block, title-content, title-heading, title-meta-dot, title-shell, trend-block, variety-block, wardrobe-block	Prevents fixed-width cards, long values, and side-by-side data rows from escaping the page when an EPUB reader uses a narrow viewport or enlarged typography on high-density displays.
48 · GLOSSARY PAGE — KOREAN HONORIFICS	3618	123	expressions, family, gl-card-text, gl-example, gl-footer-text, gl-hangul, gl-meaning, gl-note-text, gl-term, gl-use, glossary-card, glossary-deck, glossary-footer, glossary-grid, glossary-hero, glossary-index, glossary-kicker, glossary-note, glossary-rule, glossary-section, glossary-update, glossary-wrap, gs-title, seniority, social, suffixes, workplace	A colorful, expandable language reference. Section palettes distinguish suffixes, social seniority, workplace rank, family language, social address, and recurring expressions. Cards wrap fluidly for narrow EPUB screens.
49 · CALL SHEET BLOCK — NEW IN THIS VOLUME	3913	33	call-sheet, cs-header, cs-note, cs-row, cs-time, cs-unit, cs-unit-tag, cs-unit-what, cs-what	A context with no prior home: the production paperwork of a shoot day — crew call times, unit blocks, and wrap notes, pinned to a wall in paper format. Newsprint field, typewriter header bar, dotted leaders between time and instruction. Reuses embedded Courier Prime, Bebas Neue and Crimson Pro; no new typefaces required. First used in the reference edition.
50 · DEVELOPMENT QUEST BLOCK — NEW IN THIS VOLUME	4036	35	dev-quest, dq-basis, dq-basis-key, dq-basis-val, dq-gate, dq-header, dq-num, dq-principle, dq-reward, dq-task, dq-what	A context the sheet had no home for: the System's long-form partner development ledger — a governing principle, the evidence a recommendation is drawn from, numbered tasks with completion gates, and a reward footer. Console-ledger idiom: gunmetal plate, phosphor rule, tick-box gates, monospace numerals. Reuses embedded Bebas Neue, Courier Prime and Crimson Pro; no new typefaces required. First use
