file	kind	detail
OEBPS/text/ch001.xhtml	metrics-band	max p 52; dashes/1k 6.94; includes furniture
OEBPS/text/ch003.xhtml	metrics-band	max p 66; dashes/1k 7.22; includes furniture
OEBPS/text/ch004.xhtml	metrics-band	max p 49; dashes/1k 7.24; includes furniture
OEBPS/text/ch006.xhtml	metrics-band	max p 61; dashes/1k 6.39; includes furniture
OEBPS/text/ch007.xhtml	metrics-band	max p 46; dashes/1k 9.16; includes furniture
OEBPS/text/ch008.xhtml	metrics-band	max p 79; dashes/1k 10.93; includes furniture
OEBPS/text/ch009.xhtml	metrics-band	max p 107; dashes/1k 5.34; includes furniture
OEBPS/text/ch010.xhtml	metrics-band	max p 88; dashes/1k 7.67; includes furniture
OEBPS/text/ch012.xhtml	metrics-band	max p 58; dashes/1k 6.42; includes furniture
OEBPS/text/ch013.xhtml	metrics-band	max p 120; dashes/1k 7.33; includes furniture
OEBPS/text/ch014.xhtml	metrics-band	max p 123; dashes/1k 7.34; includes furniture
OEBPS/text/ch015.xhtml	doubled-word	ould hold onto. All this while she had had many people around her. Every one
OEBPS/text/ch015.xhtml	metrics-band	max p 118; dashes/1k 8.13; includes furniture
OEBPS/text/ch016.xhtml	metrics-band	max p 69; dashes/1k 6.86; includes furniture
OEBPS/text/ch017.xhtml	metrics-band	max p 71; dashes/1k 8.49; includes furniture
OEBPS/text/ch018.xhtml	metrics-band	max p 86; dashes/1k 7.3; includes furniture
